09-10 13:41 INFO     Data statistics: {0: {0: 1004, 1: 986, 2: 1016, 3: 1030, 4: 967, 5: 1016, 6: 953, 7: 999, 8: 989, 9: 1040}, 1: {0: 997, 1: 1027, 2: 991, 3: 959, 4: 1039, 5: 965, 6: 1002, 7: 1002, 8: 987, 9: 1031}, 2: {0: 1009, 1: 960, 2: 999, 3: 982, 4: 1010, 5: 1018, 6: 1058, 7: 979, 8: 980, 9: 1005}, 3: {0: 984, 1: 1030, 2: 975, 3: 1037, 4: 990, 5: 980, 6: 1008, 7: 1034, 8: 985, 9: 977}, 4: {0: 1006, 1: 997, 2: 1019, 3: 992, 4: 994, 5: 1021, 6: 979, 7: 986, 8: 1059, 9: 947}}
09-10 13:42 INFO     in comm round:0
09-10 13:43 INFO     Round: 0 Client: 0 Epoch: 0 Loss: 15.354220 Loss1: 27.714651 Loss2: 1.948676 Loss3: 0.705000 Loss4: 0.340112
09-10 13:44 INFO     Round: 0 Client: 1 Epoch: 0 Loss: 1.744393 Loss1: 1.613589 Loss2: 0.130804
09-10 13:45 INFO     Round: 0 Client: 2 Epoch: 0 Loss: 1.752561 Loss1: 1.624698 Loss2: 0.127864
09-10 13:46 INFO     Round: 0 Client: 3 Epoch: 0 Loss: 1.702472 Loss1: 1.572712 Loss2: 0.129759
09-10 13:47 INFO     Round: 0 Client: 4 Epoch: 0 Loss: 1.741663 Loss1: 1.612864 Loss2: 0.128799
09-10 13:47 INFO     >> Global Model Test accuracy: 0.100000
09-10 13:47 INFO     >> Global Model Backdoor Test accuracy: 0.000000
09-10 13:47 INFO     >> Global Model sum accuracy: 0.100000
09-10 13:47 INFO      ** Training Round complete **
09-10 13:47 INFO     in comm round:1
09-10 13:49 INFO     Round: 1 Client: 0 Epoch: 0 Loss: 2.206604 Loss1: 2.505713 Loss2: 0.781048 Loss3: 0.511674 Loss4: 0.614773
09-10 13:50 INFO     Round: 1 Client: 1 Epoch: 0 Loss: 1.709842 Loss1: 1.574908 Loss2: 0.134934
09-10 13:51 INFO     Round: 1 Client: 2 Epoch: 0 Loss: 1.654200 Loss1: 1.509769 Loss2: 0.144431
09-10 13:51 INFO     Round: 1 Client: 3 Epoch: 0 Loss: 1.609773 Loss1: 1.474983 Loss2: 0.134790
09-10 13:52 INFO     Round: 1 Client: 4 Epoch: 0 Loss: 1.639149 Loss1: 1.501265 Loss2: 0.137883
09-10 13:53 INFO     >> Global Model Test accuracy: 0.160200
09-10 13:53 INFO     >> Global Model Backdoor Test accuracy: 0.372300
